Mezo_nev,Birtokos,Harvester
A3,12,0
A7,11,0
B2,12,0
B3,12,0
B4,12,0
B5,12,0
B6,12,0
B7,11,0
B8,11,0
B9,11,0
C1,1,0
C2,1,0
C3,12,0
C4,12,0
C5,11,0
C6,12,0
C7,11,0
C8,0,0
C9,0,0
C10,11,0
C11,11,0
D2,1,0
D3,1,0
D4,12,0
D5,12,0
D6,12,0
D7,11,0
D8,0,0
D9,11,0
D10,11,0
D11,10,0
E2,1,0
E3,1,0
E4,1,0
E5,1,0
E6,12,0
E7,12,0
E8,11,0
E9,11,0
E10,0,0
E11,9,0
E12,0,0
F2,1,0
F3,2,0
F4,1,0
F5,2,0
F6,1,0
F7,12,0
F8,12,0
F9,11,0
F10,0,0
F11,9,0
F12,9,0
F13,0,0
G1,2,0
G2,2,0
G3,2,0
G4,2,0
G5,2,0
G6,2,0
G7,0,0
G8,0,0
G9,0,0
G10,0,0
G11,9,0
G12,9,0
G13,9,0
G14,9,0
G15,9,0
H2,2,0
H3,2,0
H4,2,0
H5,2,0
H6,2,0
H7,0,0
H8,0,0
H9,0,0
H10,0,0
H11,0,0
H12,8,0
H13,9,0
H14,9,0
H15,9,0
I2,2,0
I3,2,0
I4,2,0
I5,2,0
I6,2,0
I7,0,0
I8,0,0
I9,0,0
I10,0,0
I11,0,0
I12,8,0
I13,8,0
I14,9,0
I15,9,0
I16,9,0
J2,3,0
J3,3,0
J4,3,0
J5,3,1
J6,3,0
J7,0,0
J8,0,0
J9,0,0
J10,0,0
J11,7,0
J12,7,0
J13,8,0
J14,0,0
J15,8,0
K1,3,0
K2,3,0
K3,3,0
K4,3,0
K5,4,0
K6,4,0
K7,0,0
K8,0,0
K9,0,0
K10,7,0
K11,7,0
K12,7,0
K13,8,0
K14,8,0
K15,8,0
L2,3,0
L3,3,0
L4,4,0
L5,4,0
L6,5,0
L7,5,0
L8,5,0
L9,7,0
L10,7,1
L11,7,0
L12,7,0
L13,0,0
M2,4,0
M3,4,0
M4,4,0
M5,5,0
M6,5,0
M7,5,0
M8,5,0
M9,7,0
M10,7,0
M11,7,0
M12,7,0
N2,4,0
N3,4,0
N4,5,0
N5,5,0
N6,5,0
N7,5,0
N8,5,0
N9,6,0
N10,7,0
N11,7,0
O1,4,0
O2,4,0
O3,5,0
O4,5,0
O5,5,0
O6,5,0
O7,5,0
O8,5,0
O9,7,0
O10,7,0
O11,7,0
P2,5,0
P3,5,0
P4,5,0
P5,5,0
P6,5,0
P7,5,0
P8,6,0
P9,7,0
Q3,5,0
Q7,6,0
